# compute-mfcc-feats --write-utt2dur=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/wav_spkrs.1.scp ark:- | copy-feats --write-num-frames=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2num_frames.1 --compress=true ark:- ark,scp:/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.ark,/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.scp 
# Started at Tue Feb 11 11:48:23 UTC 2020
#
copy-feats --write-num-frames=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2num_frames.1 --compress=true ark:- ark,scp:/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.ark,/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.scp 
compute-mfcc-feats --write-utt2dur=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/wav_spkrs.1.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_54_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_55_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_56_11
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_58_16
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_58_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_58_56
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_59_32
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 170 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_11_59_45
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0003-2019_12_18_12_00_20
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_18_14_41_23_1
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_18_14_41_23_2
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_18_14_41_23_3
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_18_14_41_23_4
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_18_14_41_49
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_22_16_31_01
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_29_11
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_29_51
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 180 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_30_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_31_16
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_31_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_32_37
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_33_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_34_09
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_34_31
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_35_01
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_35_24
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_35_48
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 190 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_37_04
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_37_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_38_04
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_38_22
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_38_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_39_09
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_39_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_39_47
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_40_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_40_26
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 200 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_40_52
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_41_08
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_41_18
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_41_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_41_55
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_42_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_42_28
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_42_52
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_43_09
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_43_33
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 210 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_44_01
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_10_23_09_44_17
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_10_21
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_13_30
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_17_29
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_18_45
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_20_28
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_22_05
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_24_01
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_25_33
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 220 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_27_17
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_28_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_29_46
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_31_17
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_32_36
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_33_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_35_21
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_36_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_38_17
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_17_39_42
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 230 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_22_46
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_23_30
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_34_55
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_36_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_37_30
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_38_21
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_39_44
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_40_19
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_40_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_46_49
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 240 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_47_11
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_47_33
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_47_44
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_48_14
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_49_22
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_49_45
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_50_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_51_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_51_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_51_41
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 250 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_52_27
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_57_37
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_58_06
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0004-2019_11_08_18_58_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_18_14_45_42_1
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_18_14_45_42_2
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_18_14_45_42_3
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_18_14_45_42_4
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_18_14_46_22
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_05_48
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 260 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_10_43
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_11_34
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_12_26
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_13_30
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_14_49
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_15_49
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_16_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_17_29
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_18_56
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_20_23
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 270 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_21_19
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_22_17
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_22_58
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_23_41
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_24_22
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_25_31
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_26_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_26_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_27_53
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_28_31
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 280 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_29_08
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_29_46
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_30_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_31_05
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_31_49
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_10_22_19_32_29
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_00_22
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_01_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_01_23
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_02_04
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 290 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_02_24
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_03_20
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_04_52
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_05_09
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_05_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_06_09
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_10_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_11_12
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_11_36
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_12_30
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 300 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_12_51
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_13_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_14_21
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_15_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_16_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_17_03
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_17_17_32
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_16_38
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_16_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_17_24
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 310 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_18_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_20_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_21_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_22_21
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_23_37
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_24_10
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_25_00
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_25_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0005-2019_11_08_18_51_21
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:185)  Done 318 out of 318 utterances.
LOG (copy-feats[5.5.637~1-134b1]:main():copy-feats.cc:143) Copied 318 feature matrices.
# Accounting: time=2 threads=1
# Ended (code 0) at Tue Feb 11 11:48:25 UTC 2020, elapsed time 2 seconds
